库编号,统一编号,保存单位,品种名称,译名,科名,属名,学名,系谱,育成年限,原产地,高程,东经,北纬,来源国,芒,壳色,粒色,冬春性,成熟期,穗粒数,穗长,株高,千粒重,粗蛋白,赖氨酸,沉淀值,硬度,容重,抗旱性,耐涝性,芽期耐盐,苗期耐盐,田间抗寒性,人工抗寒性,条锈严重度,条锈反应型,条锈普遍率,叶锈严重度,叶锈反应型,叶锈普遍率,秆锈严重度,秆锈反应型,秆锈普遍率,白粉严重度,白粉反应型,黄矮病,赤霉病病穗,赤霉病病指,赤霉病指数,赤霉病抗性,根腐叶病级,根腐穗病级,其它,省,样品类型
I1B07773,MY000140,京10003,无,水源86,Gramineae(禾本科),Triticum L.(小麦属),Triticum aestivum L.(普通小麦),无,无,朝鲜,无,无,无,无,长,白,红,强冬,早,无,无,68,无,15.79,0.42,无,无,无,3,5,无,无,无,无,80,S,100,5,MS,100,80,S,100,7,4,7,100,83.3,4.8,S,MR,R,无,国外,国外
I1B07774,MY000141,京10004,无,水源96,Gramineae(禾本科),Triticum L.(小麦属),Triticum aestivum L.(普通小麦),无,无,朝鲜,无,无,无,无,无,白,红,强冬,早,无,无,115,无,17.47,0.46,无,25.2,无,3,3,无,无,无,无,80,S,100,80,S,100,80,S,100,5,3,7,100,83.3,4.8,S,S,R,无,国外,国外
I1B27447,MY000142,京10005,无,水源道杂交,Gramineae(禾本科),Triticum L.(小麦属),Triticum aestivum L.(普通小麦),无,无,朝鲜,无,无,无,无,长,白,红,强冬,中,无,无,145,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,国外,国外
I1B07775,MY000143,京10084,无,所泽,Gramineae(禾本科),Triticum L.(小麦属),Triticum aestivum L.(普通小麦),无,无,日本,无,无,无,无,长曲,白,红,冬,中,无,无,134,无,16.7,0.44,无,19,无,4,无,无,无,无,无,40,S,100,80,S,100,80,S,100,6,4,7,100,83.3,4.8,S,S,R,无,国外,国外
I1B00492,MY000144,京10081,无,(W)尾鸟早生,Gramineae(禾本科),Triticum L.(小麦属),Triticum aestivum L.(普通小麦),无,无,日本,无,无,无,无,长,红,红,春,晚,无,无,100,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,国外,国外
I1B00008,MY000145,京10024,无,(X)西村,Gramineae(禾本科),Triticum L.(小麦属),Triticum aestivum L.(普通小麦),无,无,日本,无,无,无,无,长,白,红,冬,早,无,无,100,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,国外,国外
I1B00032,MY000146,京10086,无,相州1号,Gramineae(禾本科),Triticum L.(小麦属),Triticum aestivum L.(普通小麦),无,无,日本,无,无,无,无,无,红,红,冬,极早,无,无,84,无,无,无,无,16.5,无,5,无,无,无,无,无,25,S,100,5,MS,100,80,S,100,8,4,7,100,81.7,4.8,S,MS,R,无,国外,国外
I1B04814,MY000147,京10087,无,相州2号,Gramineae(禾本科),Triticum L.(小麦属),Triticum aestivum L.(普通小麦),无,无,日本,无,无,无,无,无,红,红,春,晚,无,无,114,无,13.92,0.38,无,无,无,无,无,无,无,无,无,25,S,50,80,MS,100,80,S,100,7,4,6,100,61.7,4.6,S,MS,R,无,国外,国外
I1B00004,MY000148,京10014,无,小吉野暮,Gramineae(禾本科),Triticum L.(小麦属),Triticum aestivum L.(普通小麦),无,无,日本,无,无,无,无,长,白,红,冬,早,无,无,75,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,国外,国外
I1B27448,MY000149,京10015,コケシコムギ,小樱粟,Gramineae(禾本科),Triticum L.(小麦属),Triticum aestivum L.(普通小麦),无,无,日本,无,无,无,无,长,白,红,冬,早,无,无,70,无,无,无,无,26.1,无,3,无,无,无,无,无,40,S,100,80,MS,100,80,S,100,8,3,3,100,84.2,4.8,S,S,R,无,国外,国外
I1B04815,MY000150,京10093,无,新四早生,Gramineae(禾本科),Triticum L.(小麦属),Triticum aestivum L.(普通小麦),无,无,日本,无,无,无,无,长,红,红,春,中,无,无,90,无,14.55,0.4,无,无,无,无,无,无,无,无,无,25,S,50,10,MS,100,100,S,100,8,4,6,100,83.3,4.8,S,S,R,无,国外,国外
I1B00493,MY000151,京10092,新中长,xin zhong chang,Gramineae(禾本科),Triticum L.(小麦属),Triticum aestivum L.(普通小麦),无,无,日本,无,无,无,无,长,红,红,春,中,无,无,88,无,无,无,无,28.8,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,国外,国外
I1B07776,MY000152,京10007,无,选出种,Gramineae(禾本科),Triticum L.(小麦属),Triticum aestivum L.(普通小麦),无,无,朝鲜,无,无,无,无,长,白,红,强冬,中,无,无,75,无,15.79,0.43,无,20,无,4,无,无,无,无,无,40,S,100,5,S,100,80,S,100,6,4,6,100,87.5,4.8,S,S,R,无,国外,国外
I1B03528,MY000153,苏10063,无,魁小麦,Gramineae(禾本科),Triticum L.(小麦属),Triticum aestivum L.(普通小麦),无,无,日本,无,无,无,无,长,红,红,春,早,无,无,80,无,无,无,无,无,无,3,无,无,无,无,无,25,MS,50,60,S,100,80,S,100,6,3,4,100,56,4.1,S,MS,R,无,国外,国外
I1B00001,MY000154,京10006,无,(Y)育成3号,Gramineae(禾本科),Triticum L.(小麦属),Triticum aestivum L.(普通小麦),无,无,朝鲜,无,无,无,无,长,白,红,强冬,极早,无,无,91,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,国外,国外
I1B00185,MY000155,京11594,无,御国,Gramineae(禾本科),Triticum L.(小麦属),Triticum aestivum L.(普通小麦),无,无,日本,无,无,无,无,长,红,红,冬,极早,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,国外,国外
I1B00007,MY000156,京10023,(Z)早生入梅,(Z)zao sheng ru mei,Gramineae(禾本科),Triticum L.(小麦属),Triticum aestivum L.(普通小麦),无,无,日本,无,无,无,无,长,白,红,冬,极早,无,无,78,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,国外,国外
I1B07968,MY000157,京10088,贞坊主,zhen fang zhu,Gramineae(禾本科),Triticum L.(小麦属),Triticum aestivum L.(普通小麦),无,无,日本,无,无,无,无,无,白,红,冬,中,无,无,103,无,无,无,无,15.7,无,4,无,无,无,无,无,10,MS,50,5,MS,100,65,S,100,6,4,5,100,81.7,4.8,S,MS,R,无,国外,国外
I1B00580,MY000158,京11596,无,中高秆36,Gramineae(禾本科),Triticum L.(小麦属),Triticum aestivum L.(普通小麦),无,无,无,无,无,无,无,长,白,红,弱冬,早,无,无,61,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,国外,国外
I1B00069,MY000159,京10400,A15,A 15,Gramineae(禾本科),Triticum L.(小麦属),Triticum aestivum L.(普通小麦),无,无,无,无,无,无,无,长,白,红,强冬,中,无,无,110,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,国外,国外
I1B00494,MY000160,京10955,A109/5,A 109/5,Gramineae(禾本科),Triticum L.(小麦属),Triticum aestivum L.(普通小麦),无,无,无,无,无,无,无,顶,白,白,春,晚,无,无,62,无,16.08,0.48,无,19.9,无,无,无,无,无,无,无,40,S,100,65,MS,100,80,S,100,4,4,4,100,83.3,4.7,S,MS,R,无,国外,国外
I1B00495,MY000161,京10539,Abbondanza,"阿勃,阿勃登萨",Gramineae(禾本科),Triticum L.(小麦属),Triticum aestivum L.(普通小麦),无,无,意大利,无,无,无,无,无,白,红,春,中,无,无,90,无,无,无,无,无,无,无,1,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,国外,国外
I1B00496,MY000162,京10958,Abbon×Skorosp.273/9F7,阿勃×早熟273/9F7,Gramineae(禾本科),Triticum L.(小麦属),Triticum aestivum L.(普通小麦),无,无,阿尔巴尼亚,无,无,无,无,无,白,红,春,中,无,无,70,无,无,无,无,26.5,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,国外,国外
I1B00497,MY000163,京10959,Abbon×Skorosp.277/4F7,阿勃×早熟277/4F7,Gramineae(禾本科),Triticum L.(小麦属),Triticum aestivum L.(普通小麦),无,无,阿尔巴尼亚,无,无,无,无,顶,无,红,春,晚,无,无,94,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,国外,国外
I1B00498,MY000164,京10960,Abbon×Skorosp.277/9F7,阿勃×早熟277/9F7,Gramineae(禾本科),Triticum L.(小麦属),Triticum aestivum L.(普通小麦),无,无,阿尔巴尼亚,无,无,无,无,无,白,红,春,中,无,无,73,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,国外,国外
I1B04442,MY000165,京10956,Abed Danice,阿贝德.丹尼斯,Gramineae(禾本科),Triticum L.(小麦属),Triticum aestivum L.(普通小麦),无,无,丹麦,无,无,无,无,无,白,红,冬,极晚,无,无,130,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,国外,国外
I1B04589,MY000166,京11631,Aberdeen Triple Dwarf,阿伯登三矮麦,Gramineae(禾本科),Triticum L.(小麦属),Triticum aestivum L.(普通小麦),无,无,美国,无,无,无,无,无,白,白,春,极晚,无,无,49,无,15.99,0.44,无,无,无,无,无,无,无,无,无,25,MS,50,5,MS,100,100,S,100,5,4,6,100,100,5,S,S,R,无,国外,国外
无,MY000167,黑72-01,Abott,阿博特,Gramineae(禾本科),Triticum L.(小麦属),Triticum aestivum L.(普通小麦),无,无,无,无,无,无,无,无,白,红,春,晚,无,无,103,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,国外,国外
无,MY000168,中178,Abura,阿布拉,Gramineae(禾本科),Triticum L.(小麦属),Triticum aestivum L.(普通小麦),无,无,墨西哥,无,无,无,无,无,红,红,春,晚,无,无,80,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,国外,国外
I1B10768,MY000169,京10961,Acciaio,阿克西奥,Gramineae(禾本科),Triticum L.(小麦属),Triticum aestivum L.(普通小麦),无,无,意大利,无,无,无,无,顶,白,红,春,晚,无,无,50,无,无,无,无,24.9,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,国外,国外
I1B07777,MY000170,京11632,Acciaio 2201,阿克西奥2201,Gramineae(禾本科),Triticum L.(小麦属),Triticum aestivum L.(普通小麦),无,无,意大利,无,无,无,无,无,白,红,冬,中,无,无,63,无,15.56,0.42,无,24.5,无,2,无,无,无,无,无,无,0,无,5,S,100,80,S,100,5,3,6,100,58.3,4.5,S,S,R,无,国外,国外
I1B26192,MY000171,京10962,Ace,艾斯,Gramineae(禾本科),Triticum L.(小麦属),Triticum aestivum L.(普通小麦),无,无,美国,无,无,无,无,无,白,红,冬,晚,无,无,118,无,15.7,0.47,无,35.3,无,无,无,无,无,无,无,40,MS,100,5,MS,100,100,S,100,3,3,3,100,62.5,4.4,S,MS,R,无,国外,国外
I1B04816,MY000172,京10674,Acimital,阿西米特尔,Gramineae(禾本科),Triticum L.(小麦属),Triticum aestivum L.(普通小麦),无,无,澳大利亚,无,无,无,无,无,白,白,春,中,无,无,120,无,11.92,0.32,无,无,无,无,无,无,无,无,无,无,0,无,10,MS,100,80,S,100,6,4,6,100,62.5,4.6,S,S,R,无,国外,国外
