库编号,统一编号,保存单位,品种名称,译名,科名,属名,学名,系谱,育成年限,原产地,高程,东经,北纬,来源国,芒,壳色,粒色,冬春性,成熟期,穗粒数,穗长,株高,千粒重,粗蛋白,赖氨酸,沉淀值,硬度,容重,抗旱性,耐涝性,芽期耐盐,苗期耐盐,田间抗寒性,人工抗寒性,条锈严重度,条锈反应型,条锈普遍率,叶锈严重度,叶锈反应型,叶锈普遍率,秆锈严重度,秆锈反应型,秆锈普遍率,白粉严重度,白粉反应型,黄矮病,赤霉病病穗,赤霉病病指,赤霉病指数,赤霉病抗性,根腐叶病级,根腐穗病级,其它,省,样品类型
I1B06441,MY000027,陕A13,无,代维维尔,Gramineae(禾本科),Triticum L.(小麦属),Triticum aestivum L.(普通小麦),无,无,无,无,无,无,无,无,红,红,春,中,无,无,98,无,11.99,0.39,16,38.7,无,4,无,无,无,无,无,10,R,100,5,MS,100,100,S,100,3,3,4,100,95,5,S,R,无,无,国外,国外
I1B07950,MY000028,京10017,无,(F)分枝小麦,Gramineae(禾本科),Triticum L.(小麦属),Triticum aestivum L.(普通小麦),无,无,日本,无,无,无,无,长,红,红,弱冬,早,无,无,120,无,15.45,0.42,无,41,无,5,无,无,无,无,无,40,S,100,5,S,100,100,S,100,6,4,5,100,90,4.9,S,S,R,无,国外,国外
I1B07763,MY000029,京10090,フルツ1,富禄兹1号,Gramineae(禾本科),Triticum L.(小麦属),Triticum aestivum L.(普通小麦),无,无,日本,无,无,无,无,无,白,红,冬,中,无,无,125,无,17.11,0.45,无,15.7,无,3,无,无,无,无,无,65,S,100,40,S,100,100,S,100,7,4,5,100,75,4.7,S,MR,R,无,国外,国外
I1B07764,MY000030,京10022,ヒカソコムギ,(G)光小麦,Gramineae(禾本科),Triticum L.(小麦属),Triticum aestivum L.(普通小麦),无,无,日本,无,无,无,无,无,红,红,冬,早,无,无,86,无,15.57,0.41,无,14.2,无,3,无,无,无,无,无,80,S,100,25,S,100,80,S,100,7,4,7,100,91.7,5,S,S,R,无,国外,国外
I1B00188,MY000031,京11604,无,(H)海洲早麦,Gramineae(禾本科),Triticum L.(小麦属),Triticum aestivum L.(普通小麦),无,无,朝鲜,无,无,无,无,长,白,红,冬,早,无,无,110,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,国外,国外
I1B07765,MY000032,京10097,无,横泽,Gramineae(禾本科),Triticum L.(小麦属),Triticum aestivum L.(普通小麦),无,无,日本,无,无,无,无,长,白,红,冬,中,无,无,124,无,19.18,0.49,无,26.5,无,3,无,无,无,无,无,65,S,100,80,S,100,65,S,100,5,3,7,100,83.3,4.8,S,MR,R,无,国外,国外
I1B00559,MY000033,京10095,无,桦太3号,Gramineae(禾本科),Triticum L.(小麦属),Triticum aestivum L.(普通小麦),无,无,日本,无,无,无,无,长,红,红,弱冬,早,无,无,113,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,国外,国外
I1B00560,MY000034,京10091,ェビスコムギ,惠比须小麦,Gramineae(禾本科),Triticum L.(小麦属),Triticum aestivum L.(普通小麦),无,无,日本,无,无,无,无,长,白,红,弱冬,中,无,无,89,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,国外,国外
I1B03523,MY000035,苏10050,无,(J)江岛神力,Gramineae(禾本科),Triticum L.(小麦属),Triticum aestivum L.(普通小麦),无,无,日本,无,无,无,无,顶,白,红,冬,晚,无,无,120,无,无,无,无,无,无,4,无,无,无,无,无,25,MS,50,80,S,100,25,MS,80,5,4,4,90,65,4.2,S,MR,R,无,国外,国外
I1B00189,MY000036,京11605,无,江育10号,Gramineae(禾本科),Triticum L.(小麦属),Triticum aestivum L.(普通小麦),无,无,朝鲜,无,无,无,无,长,白,红,冬,极早,无,无,100,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,国外,国外
I1B03524,MY000037,苏74-743,无,(K)库阿捷尔那,Gramineae(禾本科),Triticum L.(小麦属),Triticum aestivum L.(普通小麦),无,无,无,无,无,无,无,长,白,无,弱冬,无,无,无,无,无,10.44,0.33,无,29.6,无,5,无,无,无,无,无,10,MR,10,40,MS,100,40,S,100,5,4,4,100,89,4.7,S,S,R,无,国外,国外
I1B03525,MY000038,苏10063,无,魁小麦,Gramineae(禾本科),Triticum L.(小麦属),Triticum aestivum L.(普通小麦),无,无,日本,无,无,无,无,长,红,红,春,早,无,无,80,无,12.07,0.38,无,无,无,3,2,无,无,无,无,40,MS,50,60,MS,100,65,S,100,6,4,4,100,56,4.1,S,S,R,无,国外,国外
